time,phi,theta,psi,p,q,r,vtas,Mach,alpha,beta,gamma,Ax,Ay,Az,da,de,dr,dta,dte,dtr,flaps,gear,Tc1,Tc2,u_n,v_n,w_n
0.2,-1.03006781890312e-16,0.0790083585618934,-2.11610438157505e-16,-6.43101719495429e-16,-7.01300630199383e-15,-2.12975791703707e-15,80,0.237788873409609,0.079008358561897,7.58998359125288e-14,-3.56381590904675e-15,0.77375855326264,-6.29580789194517e-13,-9.77298959948341,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,6.05570843253529e-12,2.8510527272374e-13
0.21,-1.11196582061724e-16,0.0790083585618933,-2.33499011056952e-16,-6.49125861710289e-16,-7.37649709866846e-15,-2.2341536299963e-15,80,0.237788873409609,0.079008358561897,7.58422715233434e-14,-3.71924713249427e-15,0.773758553262641,-6.29233993745714e-13,-9.77298959948342,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,6.04940390674315e-12,2.97539770599542e-13
0.22,-1.19522621375853e-16,0.0790083585618933,-2.56430314773498e-16,-6.53907847438108e-16,-7.73823961612426e-15,-2.33764556876385e-15,80,0.237788873409609,0.0790083585618971,7.57857713435792e-14,-3.8746783559418e-15,0.773758553262642,-6.28903489807376e-13,-9.77298959948343,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,6.0431019594662e-12,3.09974268475344e-13
0.23,-1.27972273048702e-16,0.0790083585618932,-2.80395053986465e-16,-6.57552067177368e-16,-8.09876143032178e-15,-2.44018897389892e-15,80,0.237788873409609,0.0790083585618972,7.57303249400378e-14,-4.04121180963557e-15,0.773758553262643,-6.28588320367087e-13,-9.77298959948343,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,6.03680241994751e-12,3.23296944770846e-13
0.24,-1.36533883123378e-16,0.0790083585618931,-3.05383512323246e-16,-6.60155439608654e-16,-8.45729443654151e-15,-2.54174457353032e-15,80,0.237788873409609,0.0790083585618973,7.56759215115754e-14,-4.20774526332934e-15,0.773758553262644,-6.28287600403324e-13,-9.77298959948344,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,6.03050512782121e-12,3.36619621066347e-13
0.25,-1.45196702746115e-16,0.079008358561893,-3.31385604961013e-16,-6.61807972428281e-16,-8.81482602028076e-15,-2.64227810268437e-15,80,0.237788873409609,0.0790083585618974,7.56225499372718e-14,-4.36317648677686e-15,0.773758553262645,-6.28000511087117e-13,-9.77298959948345,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,6.0242099323302e-12,3.49054118942149e-13
0.26,-1.53950825462089e-16,0.0790083585618929,-3.5839092660985e-16,-6.62593278993873e-16,-9.1689389238046e-15,-2.74175986255637e-15,80,0.237788873409609,0.0790083585618974,7.55701988203589e-14,-4.50750547997814e-15,0.773758553262646,-6.27726294453755e-13,-9.77298959948345,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,6.01791669160596e-12,3.60600438398251e-13
0.27,-1.62787129137442e-16,0.0790083585618928,-3.86388795261406e-16,-6.62589054332786e-16,-9.5212297549149e-15,-2.84016431646355e-15,80,0.237788873409609,0.0790083585618975,7.55188565282629e-14,-4.67403893367191e-15,0.773758553262647,-6.27464248506613e-13,-9.77298959948346,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,6.01162527200521e-12,3.73923114693753e-13
0.28,-1.71697222145559e-16,0.0790083585618927,-4.15368292055769e-16,-6.6186751377788e-16,-9.86993011087147e-15,-2.93746971948121e-15,80,0.237788873409609,0.0790083585618976,7.54685112290822e-14,-4.84057238736568e-15,0.773758553262648,-6.27213722718185e-13,-9.77298959948346,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,6.00533554749911e-12,3.87245790989255e-13
0.29,-1.80673393484632e-16,0.0790083585618926,-4.45318297590456e-16,-6.60495797231813e-16,-1.02160259872337e-14,-3.03365777900674e-15,80,0.237788873409609,0.0790083585618976,7.54191509248008e-14,-4.98490138056695e-15,0.773758553262649,-6.26974113896246e-13,-9.77298959948346,-2.05850974727246e-14,-0.0429869122185295,1.24938539551573e-13,0,0,0,0,1,0.673086199299627,0.673086199299627,80,5.99904739911057e-12,3.98792110445356e-13
